name,family,fs150_value,sim_iris_value,delta_fs_minus_sim,status,sim_source,px4_group,px4_type,fs_type
FW_T_ALT_TC,Fixed-wing,,5,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_CLMB_MAX,Fixed-wing,,5,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_CLMB_R_SP,Fixed-wing,,3,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_HRATE_FF,Fixed-wing,,0.3,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_I_GAIN_PIT,Fixed-wing,,0.1,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_I_GAIN_THR,Fixed-wing,,0.3,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_PTCH_DAMP,Fixed-wing,,0.1,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_RLL2THR,Fixed-wing,,15,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_SEB_R_FF,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_SINK_MAX,Fixed-wing,,5,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_SINK_MIN,Fixed-wing,,2,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_SINK_R_SP,Fixed-wing,,2,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_SPDWEIGHT,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_SPD_OMEGA,Fixed-wing,,2,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_STE_R_TC,Fixed-wing,,0.4,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_TAS_R_TC,Fixed-wing,,0.2,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_TAS_TC,Fixed-wing,,5,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_THR_DAMP,Fixed-wing,,0.1,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_T_VERT_ACC,Fixed-wing,,7,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_WR_FF,Fixed-wing,,0.2,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_WR_I,Fixed-wing,,0.1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
